@relation emotion

@attribute AU1 numeric
@attribute AU2 numeric
@attribute AU4 numeric
@attribute AU6 numeric
@attribute AU7 numeric
@attribute AU9 numeric
@attribute AU12 numeric
@attribute AU15 numeric
@attribute AU16 numeric
@attribute AU20 numeric
@attribute AU23 numeric
@attribute AU26 numeric
@attribute Left numeric
@attribute Lower numeric
@attribute Right numeric
@attribute Upper numeric
@attribute class{Positive,Negative,Neutral}

@data
0.0,0.0,0.0,0.78,0.0,0.48,0.68,0.0,0.0,0.0,0.0,0.0,1.31,0.68,1.17,1.8,Neutral
0.0,0.0,0.0,0.0,0.0,0.09,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.88,2.88,0.0,Positive
0.0,0.0,0.0,0.0,0.0,0.17,0.62,0.0,0.0,0.0,0.0,0.0,0.1,1.47,2.02,0.65,Negative
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.12,0.12,0.12,0.0,0.12,0.0,1.91,1.91,1.13,Positive
0.0,0.0,0.52,0.0,0.88,0.65,0.35,0.0,0.35,0.15,0.15,0.15,0.0,1.15,2.45,1.3,Positive
0.0,0.0,0.0,0.0,0.0,1.87,1.47,0.0,0.0,0.0,0.0,0.0,1.47,2.09,0.62,0.0,Negative
0.0,0.0,0.0,0.85,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.28,2.08,Negative
0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.19,1.99,Neutral
0.0,0.0,0.0,0.28,0.0,1.02,0.65,0.32,0.32,0.32,0.32,0.0,0.6,1.99,1.87,0.48,Negative
0.0,0.0,0.0,0.0,0.43,0.79,1.05,0.0,0.0,0.0,0.87,0.0,0.0,1.66,2.5,0.84,Neutral
0.0,0.0,0.0,0.68,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.4,2.11,Neutral
0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.63,0.97,Negative
0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,2.07,0.95,Negative
0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,1.0,2.22,Neutral
0.0,0.0,0.23,0.83,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.9,1.51,1.06,Neutral
0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,2.01,Negative
0.13,0.0,0.13,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,2.23,Neutral
0.62,0.0,0.12,0.0,0.31,0.29,0.19,0.0,0.0,0.0,0.0,0.0,0.72,0.19,1.21,1.74,Negative
0.47,0.0,0.0,0.55,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.75,1.02,2.07,Positive
0.0,0.0,0.0,0.17,0.0,0.58,1.19,0.0,0.0,0.0,0.89,0.0,0.69,1.31,1.09,0.77,Positive
0.0,0.0,0.0,0.0,0.0,0.2,0.32,0.0,0.32,0.0,0.0,0.0,0.35,0.47,0.32,0.2,Negative
0.0,0.0,0.0,0.6,0.0,0.77,1.18,0.37,0.37,0.37,0.0,0.37,0.32,1.7,2.15,0.77,Positive
0.0,0.0,0.0,2.53,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,Positive
